Autor;Título;REVISTA;Volume;Number;Pages;ANO;Tipo;QUALIS DA REVISTA;Usuário Impressora 3D;Metodologia Utilizada;Etapa, disciplina e currículo;Cultura Maker e Ensino STEAM;Observações;Criação do design;INSTITUIÇÃO
"da Silva, Eloar Froboese; da Silva, Lucas Menin; Deon, Vinícius Gonçalves; Toso, Marcelo André; ";Impressão 3D aplicada à tecnologia assistiva;Revista Destaques Acadêmicos;12;4;;2020;artigo;;;;;;;;
"BUHAGIAR, Marco Fernandes; ";Tecendo camadas: um estudo sobre o uso doméstico da impressão 3D;;;;;2022;;;;;;;;;Universidade Federal de Pernambuco
"CARDOSO, Bressa Karolina Dias; PEREIRA, Gisele Carla Sousa; ";Modelagem e impressão de um sistema automatizado de cultivo indoor em impressora 3D.;;;;;2023;;;;;;;;;UFRA/Campus Belém
"Alves de Oliveira, Cíntia Rochele; Corrêa Ferreira, Cristiano; da Silva de Lima Martins, Claudete; ";Modelo didático para o ensino de Ciências, construção por meio de impressão 3D: análise e avaliação no processo de ensino-aprendizagem;TE & ET;;;;2022;;;;;;;;;
"de Lima Martins, Silva; ";Modelo didático para o ensino de Ciências, construção por meio de impressão 3D: análise e avaliação no processo de ensino-aprendizagem;;;;;;;;;;;;;;
"Pacheco, Hualan Patrício; Zibetti, Marli Lúcia Tonatto; ";O ENSINO DE ASTRONOMIA EM UM CURSO DE FORMAÇÃO DE PROFESSORES: O CASO DA SUPERFÍCIE MARCIANA;Revista Latino-Americana de Educação em Astronomia;;33;107-121;2022;artigo;;;;;;;;
"Figueiredo, Beatriz Beca; Cesar, Francisco Ignácio Giocondo; ";Um estudo da utilizaçao da impressora 3D na Engenharia e na Medicina;RECISATEC-REVISTA CIENTÍFICA SAÚDE E TECNOLOGIA-ISSN 2763-8405;2;1;e2170-e2170;2022;;;;;;;;;
"Garcia, Thaís Ribeiro; Macedo, Rafaela Melo; Vaz, Matheus Hernandes Vieira; Borges, Guilherme Henrique Iaccino; Zendron, Igor Mundim; Arruda, Jalsi Tacon; ";Impressão 3D de peças anatômicas como ferramentas de educação e auxílio na prática clínica;Research, Society and Development;11;13;e248111335234-e248111335234;2022;;;;;;;;;
"Luz, Taciana Ramos; Huebner, Rudolf; Silva, Gabriel Vieira; Maia, Natália Lara Mota; França, Álvaro; Arrais, Crislaine Gomes; ";Desenvolvimento de recursos assistivos em impressora 3D para alunos universitários com deficiência;Revista Docência do Ensino Superior;12;;1-26;2022;artigo;A3;;;;;;;
"Cavalcanti Júnior, Wellington Tenório; ";Impressão tridimensional de peças anatômicas para ensino dos aspectos morfofisiológicos da embriologia na enfermagem;;;;;2022;;;;;;;;;Pesqueira
"Medeiros, Raiza De Sá; Gomes, Nicolas Azevedo; ACIOLY, THIAGO MACHADO DA SILVA; Viana, Diego Carvalho; ";DIGITALIZAÇÃO E IMPRESSÃO TRIDIMENSIONAL DE PEÇAS ANATÔMICAS PARA ENSINO DE MEDICINA VETERINÁRIA;SAPIENS-Revista de divulgação Científica;5;1;75-89;2023;;;;;;;;;
"Tillmann, Ana; ";Impressão 3D e arte como aliadas no desenvolvimento cognitivo da criança com deficiência visual;;;;;2022;;;;;;;;;Florianópolis, SC
"Carius, Ana Carolina; de Oliveira Baldner, Felipe; Maiworm, André Probst; ";Robótica educacional no contexto do novo Ensino Médio: uma aplicação de código de aberto;Revista INTER EDUCA;5;3;15-26;2023;artigo;;;;;;;;
